date,session_type,duration_minutes,intensity,performance_rating,fatigue_level,goal_focus,completed,notes
01-01-2026,Batting,60,Medium,8,7,singles,yes,was able to get singles on average 75% of the balls
01-02-2026,Batting,80,High,6,8,new ball,yes,mostly felt good but some bad shots aswell
01-03-2026,Fitness,45,High,8,6,Stamina,Yes,Tiring but strong
01-04-2026,Bowling,45,Medium,6,5,Accuracy,Yes,Need line control
01-05-2026,Batting,40,Low,6,3,Footwork,Yes,Light practice
01-06-2026,Rest,0,Low,0,0,Recovery,No,Felt tired
01-07-2026,Fitness,55,High,7,6,Strength,Yes,Good workout
01-08-2026,Bowling,35,Medium,8,7,Line and Length,Yes,Better rhythm
01-09-2026,Batting,100,Medium,8,6,Drills,Yes,middled
01-10-2026,Batting,65,High,9,7,Range Hitting,Yes,Good hits
01-11-2026,Fitness,60,High,8,8,Conditioning,Yes,Good run
01-12-2026,Bowling,60,Medium,6,9,T20,Yes,Better rhythm
01-13-2026,Bowling,25,High,8,8,Speed,Yes,Quick
01-14-2026,Batting,85,Low,5,4,agaisnt spin,Yes,Better rhythm
01-15-2026,Batting,125,Medium,9,5,agaisnt spin,Yes,Better rhythm
01-16-2026,Bowling,65,Medium,7,8,Line and Length,Yes,Better rhythm
01-17-2026,Fitness,60,High,7,8,Gym,Yes,Good workout
